category,Ref,CART_Precision,CART_Recall,CART_F1,RF_Precision,RF_Recall,RF_F1,SVM_Precision,SVM_Recall,SVM_F1
Igneous,1,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,1,,,,,,,,,
Metamorphic,1,,,,,,,,,
Igneous,2,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,2,,,,,,,,,
Metamorphic,2,,,,,,,,,
Igneous,3,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,3,,,,,,,,,
Metamorphic,3,,,,,,,,,
Acidic,3,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Intermediate,3,,,,,,,,,
Basic,3,,,,,,,,,
Kimberlite,3,,,,,,,,,
Carbotite,3,,,,,,,,,
Ne-syenite,3,,,,,,,,,
Igneous,4,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,4,,,,,,,,,
Metamorphic,4,,,,,,,,,
Acidic,4,0.00 ,,,,,,,,
Intermediate,4,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Basic,4,,,,,,,,,
Kimberlite,4,,,,,,,,,
Carbotite,4,,,,,,,,,
Ne-syenite,4,,,,,,,,,
Igneous,5,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,5,,,,,,,,,
Metamorphic,5,,,,,,,,,
Acidic,5,0.00 ,,,,,,0.00 ,,
Intermediate,5,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,0.50 ,0.67 
Basic,5,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Kimberlite,5,1.00 ,0.98 ,0.99 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Carbotite,5,0.59 ,1.00 ,0.74 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Ne-syenite,5,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Igneous,6,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,6,,,,,,,,,
Metamorphic,6,,,,,,,,,
Acidic,6,,,,,,,,,
Intermediate,6,,,,,,,,,
Basic,6,,,,,,,,,
Kimberlite,6,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Carbotite,6,,,,,,,,,
Ne-syenite,6,,,,,,,,,
Igneous,8,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,8,,,,,,,,,
Metamorphic,8,,,,,,,,,
Igneous,9,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,9,,,,,,,,,
Metamorphic,9,,,,,,,,,
Acidic,9,0.38 ,1.00 ,0.55 ,1.00 ,1.00 ,1.00 ,0.75 ,1.00 ,0.86 
Intermediate,9,,0.00 ,,1.00 ,1.00 ,1.00 ,,0.00 ,
Basic,9,,0.00 ,,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Kimberlite,9,,,,,,,,,
Carbotite,9,,,,,,,,,
Ne-syenite,9,,,,,,,,,
I,9,,,,,,,,,
S,9,,,,,,,,,
A,9,1.00 ,0.24 ,0.38 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
M,9,0.00 ,,,,,,,,
Igneous,10,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,10,,,,,,,,,
Metamorphic,10,,,,,,,,,
Acidic,10,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Intermediate,10,,,,,,,,,
Basic,10,,,,,,,,,
Kimberlite,10,,,,,,,,,
Carbotite,10,,,,,,,,,
Ne-syenite,10,,,,,,,,,
Igneous,11,1.00 ,0.97 ,0.98 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,11,,,,,,,,,
Metamorphic,11,0.00 ,,,,,,,,
Acidic,11,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Intermediate,11,,,,,,,,,
Basic,11,,,,,,,,,
Kimberlite,11,,,,,,,,,
Carbotite,11,,,,,,,,,
Ne-syenite,11,,,,,,,,,
Igneous,13,1.00 ,0.58 ,0.74 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,13,,,,,,,,,
Metamorphic,13,0.00 ,,,,,,,,
Igneous,15,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,15,,,,,,,,,
Metamorphic,15,,,,,,,,,
Acidic,15,0.10 ,1.00 ,0.17 ,1.00 ,1.00 ,1.00 ,1.00 ,0.83 ,0.91 
Intermediate,15,,,,,,,,,
Basic,15,,0.00 ,,1.00 ,1.00 ,1.00 ,0.98 ,1.00 ,0.99 
Kimberlite,15,,,,,,,,,
Carbotite,15,,,,,,,,,
Ne-syenite,15,,,,,,,,,
Igneous,19,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,19,,,,,,,,,
Metamorphic,19,,,,,,,,,
Igneous,24,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,24,,,,,,,,,
Metamorphic,24,,,,,,,,,
Acidic,24,,,,,,,,,
Intermediate,24,,,,,,,,,
Basic,24,,,,,,,,,
Kimberlite,24,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Carbotite,24,,,,,,,,,
Ne-syenite,24,,,,,,,,,
Igneous,25,1.00 ,0.88 ,0.93 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,25,,,,,,,,,
Metamorphic,25,0.00 ,,,,,,,,
Igneous,26,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,26,,,,,,,,,
Metamorphic,26,,,,,,,,,
Acidic,26,,,,,,,,,
Intermediate,26,,,,,,,,,
Basic,26,,,,,,,,,
Kimberlite,26,,,,,,,,,
Carbotite,26,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Ne-syenite,26,,,,,,,,,
Igneous,27,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
Hydrothermal,27,,,,,,,,,
Metamorphic,27,,,,,,,,,
Acidic,27,0.72 ,1.00 ,0.84 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 
