Ref,Author,Label1,Label2,Label3,SiO2,Volcanic_plutonic,Rock_Name,Desritpion_paper,Locality,Country,Sample_id,Methods,Li,Be,B,F,Na,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Ga,Sr,Y,Nb,Mo,Sn,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-165-1A,LA-ICP-MS,NA,NA,NA,NA,NA,NA,101.8969505,NA,NA,NA,NA,NA,15.89244579,NA,NA,NA,NA,NA,NA,209.9493571,10.99769883,NA,0.530361305,NA,0.05048093,3.264303533,0.146973403,1.973616929,3.199254274,1.503204764,9.988140448,2.691096558,27.23627439,7.685722868,27.72780921,4.646264035,32.8733654,6.098323335,10700,6.894990775,0.827757488,28.06927851,58.7730574
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-165-2A,LA-ICP-MS,NA,NA,NA,NA,NA,NA,95.85598605,NA,NA,NA,NA,NA,15.14337429,NA,NA,NA,NA,NA,NA,182.9679738,9.118112818,NA,0.431568474,NA,0.033883569,3.445787683,0.132860893,2.07047305,2.502630297,1.407155623,9.462514425,2.527874918,25.36754192,6.868072175,24.68655015,4.117766778,29.00113799,5.387758694,10000,5.993723564,0.76918547,27.19552305,53.26031918
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-165-1B,LA-ICP-MS,NA,NA,NA,NA,NA,NA,41.89,NA,NA,NA,NA,NA,4.278829322,NA,NA,NA,NA,NA,NA,44.90303921,1.55385403,NA,0.39,NA,NA,0.71,0.03,NA,NA,0.167780271,1.41193431,0.446604947,5.306477733,1.71166036,6.476704389,1.149228607,8.610150303,1.602443452,10700,1.289405119,NA,2.721990632,10.85796414
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-K62-1A,LA-ICP-MS,NA,NA,NA,NA,NA,NA,54.56,NA,NA,NA,NA,NA,15.04588348,NA,NA,NA,NA,NA,NA,72.92213295,4.697489351,NA,0.67,0.16,0.2,2.49,0.14,1.18,1.06,1.084979088,4.778067556,1.114567653,9.766396761,2.738656575,8.514545956,1.576088528,12.31832546,1.786163083,11800,1.634931981,1.48,5.772674473,11.49606251
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-K62-2A,LA-ICP-MS,NA,NA,NA,NA,NA,NA,50.55,NA,NA,NA,NA,NA,11.75678337,NA,NA,NA,NA,NA,NA,80.78519879,2.6586173,NA,NA,NA,0.076463082,1.16,0.1,0.9,1.32,0.86127206,3.959554913,1.080582102,11.07753036,3.215846736,10.19929616,1.816498108,13.66002987,2.184222284,10500,2.09001614,1.05,6.101367681,15.10852262
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-K62-1B,LA-ICP-MS,NA,NA,NA,NA,NA,NA,53.46,NA,NA,NA,NA,NA,4.678719912,NA,NA,NA,NA,NA,NA,172.8263612,6.305234273,NA,0.29,NA,0.048778469,3.62,0.11,1.3,2.07,1.532393145,7.653093216,2.118607146,22.03117409,6.57692526,24.17162572,4.550618148,36.17319588,6.634320022,8100,7.913407886,0.58,16.29085714,55.62776891
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-K62-2B,LA-ICP-MS,NA,NA,NA,NA,NA,NA,34.93,NA,NA,NA,NA,NA,4.878665208,NA,NA,NA,182.45,NA,0.11,126.6748967,4.122653178,NA,0.35,0.06,0.004469906,2.82,0.06,1.73,1.92,1.163276548,5.862596809,1.601086616,16.42530364,4.8756386,16.83741375,3.269252854,26.80239426,4.695057247,5700,4.753101222,0.61,12.81903513,41.64106439
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-K53-1A,LA-ICP-MS,NA,NA,NA,NA,NA,NA,50.04,NA,NA,NA,NA,NA,26.34279267,NA,NA,NA,NA,NA,0.27,45.41650445,3.475962484,NA,NA,NA,0.04,1.2,0.05,0.75,0.76,0.671121085,2.87502566,0.731931492,6.999595142,1.628670766,5.841139939,0.978408104,6.919814048,1.173764312,14100,3.076031819,0.15,3.975133489,9.468556411
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-K53-2A,LA-ICP-MS,NA,NA,NA,NA,NA,NA,45.44,NA,NA,NA,NA,NA,22.75377462,NA,NA,0.39,34.09,NA,0.48,39.1039023,2.937053571,NA,0.4,0.52,0.07,1.04,0.05,0.68,1.04,0.458599408,2.40438089,0.63124073,6.225303644,1.358954588,4.973544024,0.800547644,5.440769824,0.887978218,12300,2.536672815,NA,3.656711944,7.924770039
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-K53-1B,LA-ICP-MS,NA,NA,NA,NA,NA,NA,47.43,NA,NA,NA,NA,NA,13.34634847,NA,NA,NA,NA,NA,0.22,12.70574787,2.119708388,NA,0.25,NA,NA,0.6,NA,NA,NA,0.134224217,0.511570402,0.140798162,1.455668016,0.539432356,1.765456804,0.304571163,2.218566336,0.275579447,13700,2.873772193,NA,1.345587822,4.806321569
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-K53-2B,LA-ICP-MS,NA,NA,NA,NA,NA,NA,51.21,NA,NA,NA,NA,NA,20.86429158,NA,NA,NA,NA,NA,NA,19.25998072,2.937053571,NA,0.43,NA,NA,0.74,NA,NA,NA,0.268448434,0.8901325,0.248783924,2.61194332,0.798774834,2.501904499,0.406525613,2.789054822,0.469505725,16200,2.637802629,NA,1.602379391,5.351792754
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-K-65-1A,LA-ICP-MS,NA,NA,NA,NA,NA,NA,32.11,NA,NA,NA,NA,NA,15.62572484,NA,NA,NA,NA,NA,0.15,24.91816638,1.850253932,NA,0.37,NA,0.027450458,0.55,0.04,0.38,0.35,0.246077731,1.186843333,0.339327278,3.644331984,0.954380322,3.026497378,0.51186895,3.655352153,0.622605417,10500,1.356824994,0.4,1.653737705,4.816613479
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-K-65-2A,LA-ICP-MS,NA,NA,NA,NA,NA,NA,34.84,NA,NA,NA,NA,NA,19.3247128,NA,NA,0.19,NA,NA,0.11,31.08981728,2.272399246,NA,0.33,0.09,NA,0.69,NA,NA,0.34,0.31318984,1.790496408,0.469526877,4.625101215,1.120359508,4.035329837,0.674056595,4.75407072,0.704258587,11800,1.702351856,0.57,2.074875878,5.804636756
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-K65-1B,LA-ICP-MS,NA,NA,NA,NA,NA,NA,55.19,NA,NA,NA,NA,NA,7.83785558,NA,NA,NA,NA,NA,NA,37.15072078,2.766399083,NA,0.42,NA,0.012903145,1.17,0.03,0.36,0.4,0.290819137,1.83142204,0.487416179,4.872874494,1.379701987,5.094603919,0.955349564,7.564254745,1.326864004,8100,2.77264238,0.51,3.153400468,14.8615168
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An-K65-2B,LA-ICP-MS,NA,NA,NA,NA,NA,NA,30.54,NA,NA,NA,NA,NA,6.368257659,NA,NA,NA,NA,NA,0.11,17.7900606,1.598763106,NA,NA,NA,NA,0.63,NA,NA,0.24,0.145409568,0.757124195,0.22440161,2.498380567,0.695037843,2.370756279,0.436361632,3.391237113,0.622605417,5700,1.65178695,0.11,1.571564403,7.80126713
5,Belousova,Igneous,Kimberlite,NA,NA,volcanic,Kimberlite,Kimberlite,Laclan Fold Belt,Australia,An134-A,LA-ICP-MS,NA,NA,NA,NA,NA,NA,134.79,NA,NA,NA,NA,NA,20.9142779,NA,NA,NA,NA,NA,0.23,92.27272519,9.727305865,NA,0.71,NA,0.008260206,1.57,0.040279436,0.7,0.8,0.637565031,3.836778016,1.122070704,12.32672065,3.41294702,12.06563621,2.140728471,16.03706523,2.1433957,13200,5.857101683,NA,11.38100234,27.2426835
